Protein	H1	H2	H3	L1	L2	L3
P15723	21291000	23583000	17300000	6362300	8469700	8876400
P15735-2;P15735	0	0	2488200	4587500	4292300	1447600
P15770	11224000	11838000	8108500	5248500	4618800	6466100
P15877	58646000	58729000	57755000	22481000	29473000	39022000
P15880;H0YEN5;E9PQD7;E9PMM9;I3L404;E9PPT0	1598800000	888010000	1591500000	1994600000	1979700000	2248500000
P15924;P15924-2	1038600000	988780000	1039600000	1449200000	1425100000	1546900000
P15927;P15927-2;P15927-3;Q5TEJ0;Q5TEJ7	48381000	71106000	147190000	98844000	60225000	69370000
P15977	294880000	242380000	224070000	120370000	118240000	98396000
P16066	2000300	2010800	1652500	2698400	5702800	4199500
Q5TD07;P16083	142860000	135500000	105940000	221810000	168430000	237080000
P16095	246970000	185820000	211620000	102480000	74325000	64793000
P16152;B4DFK7;E9PQ63;A8MTM1	538810000	506950000	430530000	719360000	848830000	667470000
P16278-3;P16278;P16278-2;E7EQ29	40469000	40036000	37898000	59826000	60265000	41861000
P16384	11538000	17420000	7555200	2627200	2469600	2708900
P16435;H0Y4R2;E7EVY7;E7EMD0;F5H468	187100000	165310000	155060000	231790000	211760000	240610000
P16455	12328000	10603000	10393000	14293000	24485000	22498000
P16456	619340000	532570000	584730000	240750000	231510000	202290000
P16525	8471900	27866000	8176900	5894300	35443000	5385800
P16615-5;P16615-2;P16615-3;P16615;H7C5W9;P16615-4	208890000	225470000	242440000	316530000	326290000	328620000
P16659	3320900000	3803700000	3535400000	1352400000	1536300000	1464700000
P16681	987500000	861190000	1096900000	320930000	394320000	296100000
P16700	11609000	18919000	11866000	1878400	2958700	2464600
P16926	3013600	3293100	2658600	1964100	3495900	1494000
P16930;Q53XA7	34027000	30950000	39349000	31188000	35481000	29351000
P16949;P16949-2;A2A2D0	376280000	343530000	304630000	461170000	579440000	517190000
P16989-3;P16989;P16989-2	10643000	8123000	10664000	30106000	30491000	22965000
P17028	7176600	10358000	5265800	10971000	15264000	12487000
P17109	4275300	2790400	2037900	2463800	0	0
P17115	47756000	46164000	36538000	14349000	10222000	12274000
P17117	178710000	172940000	176610000	86746000	82525000	80489000
P17169	1600300000	1860200000	1837600000	844010000	786430000	767820000
P17174;B7Z7E9;B7Z1I2	485440000	444880000	5.02e+08	802290000	713720000	695110000
P17443	39728000	44624000	28259000	21452000	14490000	13224000
P17444	3107200	5343200	3030300	2436000	2207700	1876700
P17445	246530000	239640000	205900000	101340000	107220000	114380000
P17535	19144000	24400000	20953000	14620000	37400000	27389000
P17544-2;P17544-3;P17544-6;P17544;P17544-4	11724000	10504000	0	4909500	15071000	6342000
P17706;P17706-3;P17706-2;Q59F91	2561900	0	0	0	1870700	0
P17812;B4DR64	286780000	224330000	365380000	485450000	467700000	501640000
P17844;E7ETL9	5.028e+09	4812400000	4700700000	7.139e+09	6996600000	7379300000
P17846	70161000	61871000	66099000	22355000	22943000	18439000
P17858;P17858-2;F5H3H2	187020000	2.16e+08	191310000	225280000	312780000	244920000
P17888	5876500	2023000	4336000	1445000	1258600	1287900
P17931;G3V3R6	272880000	298310000	311300000	523990000	384330000	475040000
P17952	7803500	7170500	3986100	2365000	0	2180400
P17980;E9PM69;E9PKD5;E9PMD8;E9PN50	391620000	365230000	360930000	524280000	561240000	507300000
P17987;E7EQR6;E7ERF2;F5H282	2685900000	2278100000	2107400000	3.649e+09	3935500000	4123800000
P17993	108190000	65741000	74784000	41722000	41436000	51161000
P18031;B4DSN5	6853800	1941500	0	3977000	6211000	7201300
P18074;E7EVE9;A8MX75;P18074-2;E9PM96	11644000	12573000	8870100	15376000	18905000	13060000
P18077;F8WBS5;F8WB72;C9K025	36874000	65391000	63889000	93183000	132760000	83518000
P18085;C9JPM4;C9JAK5	206750000	150130000	152660000	238720000	249670000	228680000
P18124;A8MUD9	1156200000	1367400000	1450800000	1790900000	1938200000	1726600000
P18196	40167000	11002000	16741000	5365600	5236700	6644400
P18206-2;P18206;F5H7T3;G8JLL3;Q5JQ13	631340000	594620000	604060000	892190000	784730000	812030000
P18335	37921000	27369000	9079000	8714800	36782000	7610600
P18583-6;P18583-2;P18583-10;P18583-3;P18583-4;P18583-7;P18583;P18583-5;P18583-9;P18583-8	4332300	8833700	0	6743900	12807000	10383000
P18621;B4E3C2	2.8e+08	207300000	234360000	360430000	363970000	480030000
P18669;E7EMA8	3648800000	4951500000	4689800000	5181900000	5607400000	6329200000
P18754;P18754-2;C9JW69;C9JRH2;C9JMJ4;C9J3R0;C9JQZ4	2442900000	2208800000	2.916e+09	3629200000	4513300000	3833100000
P18775	88219000	66968000	71262000	37016000	42947000	34109000
P18843	1353400000	1400500000	1411100000	820730000	653620000	754890000
P18956	8453200	21102000	10280000	4386600	6477700	6102300
P19174;P19174-2	34703000	47642000	28572000	57063000	57046000	43348000
P19319	3176900	4896500	0	0	0	0
P19338;E7EX81;Q9BQ02	1.3158e+10	1.1253e+10	1.1489e+10	1.6092e+10	1.8932e+10	1.5014e+10
P19387	0	0	0	0	0	19089000
P19388	95158000	115510000	98047000	133880000	154180000	147760000
P19525;E9PC80;Q05CP4	207570000	222270000	226860000	305980000	329850000	354770000
P19623	579920000	519520000	624130000	710140000	613890000	677310000
P19624	35127000	27760000	21281000	12480000	9423900	8864100
P19784;H3BSA1;H3BV19	252400000	182130000	135470000	113790000	166030000	209100000
P19838;P19838-2;D6RH30;P19838-3	6331900	4123300	11059000	14214000	6623000	9306800
P19926	3095500000	3.423e+09	3497800000	1341600000	1302700000	1615800000
P20042	562650000	731740000	603430000	1098800000	1242500000	1286700000
P20083	19788000	25564000	24256000	0	0	0
P20099	23012000	14909000	0	21293000	0	20810000
P20290-2;P20290;H0Y9Y1;D6RDG3	153130000	258110000	168700000	199870000	193370000	213700000
P20605	184760000	124200000	185910000	55385000	56682000	72422000
P20618;H0Y3J2	336530000	430930000	355060000	532170000	594360000	672860000
P20700;E9PBF6	1112700000	1312500000	1168500000	1.918e+09	1721100000	1760200000
P20966	83420000	63543000	95394000	46601000	29421000	33665000
P21127-8;P21127-3;P21127-2;P21127;P21127-6;P21127-9;Q9UQ88-4;Q9UQ88-3;Q5QPR3;Q9UQ88-2;Q9UQ88;P21127-12;P21127-4;P21127-5;P21127-10;Q5QPR4;Q9UQ88-10;Q9UQ88-5;Q9UQ88-9	367720000	341740000	371050000	526730000	477200000	466680000
P21151	207730000	210370000	235190000	70813000	88322000	99815000
P21165	1301100000	1535500000	1606800000	581390000	502520000	632040000
P21169	11256000	8991300	5730700	3807400	2867500	3559300
P21170	946480000	861270000	977670000	330800000	356340000	289200000
P21177	477930000	509390000	480120000	197600000	210210000	202110000
P21179	1.0542e+10	1.1275e+10	1.1628e+10	4487200000	4917600000	4977200000
P21266	58744000	62099000	56233000	85125000	70680000	61394000
P21281;B4DFM5	27755000	28438000	29873000	60539000	52750000	47395000
P21283;E7EV59	18859000	23171000	9541900	20196000	19709000	16456000
P21333-2;P21333;Q5HY54;A6NDY9	828770000	834940000	725130000	1009100000	1117200000	1.049e+09
P21338	75007000	64532000	84424000	32711000	35912000	28309000
P21362	489590000	574140000	588970000	233850000	220870000	230040000
P21363	200790000	192440000	172870000	116210000	92431000	106020000
P21367	1.5778e+10	1.6968e+10	2.0241e+10	6866900000	7163500000	6.615e+09
P21399;Q9HBB2;Q59FI0;Q5VZA6	29633000	35543000	32969000	41627000	48032000	44544000
P21499	421560000	488470000	416810000	145770000	175870000	182350000
P21507	457650000	498130000	437860000	178590000	203440000	210580000
P21513	1.006e+09	1226700000	1145800000	488720000	512050000	473100000
P21599	8302500000	8760700000	9544500000	4047200000	4086100000	3863400000
P21645	287220000	262650000	314730000	113710000	94891000	140050000
P21796	129450000	164930000	160020000	251160000	225450000	253810000
P21865	15909000	10831000	5057500	4665900	3652800	2883700
P21866	9337900	11946000	8416200	2527700	1901800	2094300
P21888	288210000	253780000	283310000	120790000	94773000	118370000
P21889	2.496e+09	2546200000	2701700000	1011300000	997910000	1090600000
P21912	26606000	0	25892000	31048000	32057000	34517000
P21964-2;P21964;E7EMS6;E7EUU8;H7BZ45;F8WBW9	39386000	43826000	42131000	88733000	108030000	130090000
P22033	6974000	9675900	0	8418400	0	0
P22059;B7WNL4	39543000	42279000	38034000	39987000	63155000	61522000
P22087	1461100000	1587900000	1426500000	1.778e+09	1849800000	1804500000
P22102;P22102-2	1026200000	1156700000	1135400000	1642300000	1791900000	1773800000
P22106	165550000	205260000	159620000	59219000	75140000	86223000
P22188	102030000	97658000	102720000	40652000	31234000	32590000
P22234;E9PBS1;P22234-2;D6RF62	1.191e+09	1249900000	1245900000	2040400000	1911800000	2092500000
P22255	672200000	613370000	5.57e+08	370480000	292910000	314290000
P22256	4480100000	4888100000	4919400000	2233300000	2200800000	2413300000
P22259	8655100000	8.824e+09	9521900000	4483700000	4340300000	4170500000
P22314;B4DDE4	5798500000	5641400000	5547300000	8636900000	8555700000	8756800000
P22333	812270000	672690000	776240000	292510000	337210000	370620000
P22392-2;Q32Q12;P22392;O60361	6938600000	6552200000	8157600000	8201100000	7886500000	7719900000
P22523	11734000	11996000	6101600	4460200	5147300	5278500
P22524	74134000	59815000	47098000	34367000	24479000	30077000
P22525	7220400	14810000	19837000	5409100	0	0
P22564	175650000	282540000	296020000	39869000	61299000	51621000
P22626;P22626-2	1.3355e+10	1.3497e+10	1.4207e+10	1.9121e+10	2.1719e+10	2.0885e+10
P22634	5483400	6237200	7132900	2493100	2309500	1287600
P22670	33520000	30990000	36013000	44114000	51428000	46052000
P22681	6053600	5581200	3447700	6649900	4176400	8990300
P22830;P22830-2	11471000	12363000	13900000	20925000	51679000	44240000
P23003	37617000	46654000	15976000	10583000	6814900	18719000
P23193;E5RIS7;P23193-2;E5RJ93	55829000	43543000	42536000	86667000	70896000	53121000
P23246;P23246-2	2.1786e+10	1.8063e+10	2.3053e+10	2.9204e+10	3.1086e+10	3.0727e+10
P23256	0	6840900	2376300	0	0	0
P23258;Q9NRH3	50582000	60730000	43477000	44056000	78978000	80512000
P23284	4800600000	4731400000	4765400000	5398100000	6174900000	6878800000
P23367	13664000	14288000	12231000	5419100	3038300	5209000
P23368-2;P23368	24406000	46260000	32685000	65269000	55611000	43136000
P23381-2;P23381;G3V3H8;G3V3Y5	119500000	115270000	96610000	109620000	91927000	82332000
P23396;E9PL09;E9PPU1;H0YEU2;F2Z2S8;H0YCJ7;E9PL45;H0YF32	1057400000	975320000	1029100000	1488400000	1542700000	1622600000
P23497;C9JBL0;B8ZZD8;F8WFE2;E9PHV6;P23497-5;E9PBK3;P23497-2;P23497-3;E7EUA7;P23497-4	22560000	24712000	23506000	48354000	37004000	39191000
P23526;F5H737	1851700000	1641200000	1845400000	2581300000	2.875e+09	3007100000
P23528;G3V1A4;E9PK25;E9PP50;E9PQB7;E9PLJ3;E9PS23	4963200000	4922500000	6461700000	8978800000	9522700000	8994600000
P23538	1163300000	1.252e+09	1490400000	537010000	582350000	549610000
P23634-7;P23634-6;P23634-8;P23634;P23634-5;P23634-4;P23634-3;P23634-2;P20020-5;P20020-2	6859500	7339100	7081000	9443700	20699000	15723000
P23721	2337700000	2588900000	2550500000	1.137e+09	1099900000	1141800000
P23786	12560000	12243000	8591900	12167000	23769000	8509400
P23827	789070000	748530000	807590000	316750000	260590000	227590000
P23830	906880000	941110000	1077600000	436970000	466320000	430190000
P23836	438240000	433160000	465510000	200710000	193590000	217310000
P23837	7754700	6548700	2815600	1899700	2202800	1896300
P23839	398530000	438360000	377260000	179440000	185520000	164750000
P23843	332810000	359320000	428610000	186490000	166670000	186480000
P23847	3.896e+09	4199900000	4.528e+09	1818900000	1731900000	1963500000
P23857	37766000	37623000	105840000	0	24860000	23445000
P23865	163880000	1.37e+08	148500000	56424000	60875000	67942000
P23869	2522400000	2305400000	2688600000	1441600000	1378900000	1560700000
P23871	66403000	49611000	32720000	21976000	19845000	18863000
P23882	422130000	466140000	340520000	224260000	139620000	110810000
P23886	25096000	22404000	18875000	8462300	9646500	7761600
P23893	895800000	813100000	917040000	318940000	329660000	273400000
P23894	33463000	29389000	44370000	39269000	16522000	15793000
P23908	50552000	35712000	42057000	29034000	13366000	14665000
P23909	7729200	10574000	4344300	0	0	0
P23917	224800000	196210000	168540000	72119000	87075000	78599000
P23919;H7C312;H7BZ20	37342000	48794000	35705000	81947000	69123000	63686000
P23921;E9PD78;H0YFI0;E9PL69;F5H861	179150000	131330000	144330000	245700000	212570000	200900000
P23930	81127000	87805000	102660000	34518000	29458000	23073000
P24171	1575800000	1428400000	1489100000	589070000	612720000	600130000
P24178	18608000	29746000	0	0	0	0
P24182	1381100000	1367600000	1.575e+09	595700000	622510000	639290000
P24183	67075000	27585000	205570000	0	0	0
P24186	88049000	87470000	115340000	35344000	32584000	34604000
P24193	17800000	23115000	19433000	4958100	8031900	7160600
P24205	118290000	116640000	80579000	73993000	60025000	34300000
P24228	23282000	28981000	30247000	7871000	6929600	4603300
P24230	14160000	12254000	12962000	4944600	3627400	3504400
P24251	94366000	81864000	72148000	17494000	14598000	18352000
P24252	33039000	41772000	28317000	17162000	19895000	20275000
P24255	35971000	43762000	16224000	9274600	9954100	8067300
P24534	440180000	456940000	402820000	472100000	834910000	669440000
P24539;Q5QNZ2	24358000	44160000	29897000	65370000	40573000	50010000
P24554	17419000	14616000	15877000	7432800	6450000	6159000
P24555	23535000	32740000	29979000	14010000	7539400	5813900
P24752	680930000	8.27e+08	799820000	1058900000	1052300000	942500000
P24928	131750000	131860000	118710000	133670000	196160000	163880000
P25098	4554600	5416600	3380900	8439200	7132600	6394700
P25205	2.89e+09	2747700000	2623100000	4183900000	4569900000	4413500000
P25397	52650000	49266000	30355000	19192000	20545000	28343000
P25398	592210000	358220000	686860000	1343200000	1062500000	1157200000
P25437	272640000	260020000	278610000	167130000	201590000	191820000
P25490;H0YJV7;O15391	45761000	43447000	49971000	55943000	73533000	71525000
P25516	1.3925e+10	1.4976e+10	1.6574e+10	6339400000	7294800000	7162800000
P25519	127030000	110010000	92201000	54477000	47181000	50945000
P25522	120980000	112460000	140530000	58971000	37972000	61313000
P25526	5212900000	4407800000	5174700000	2444900000	2088500000	1888900000
P25536	17332000	16274000	16400000	7588900	5974500	7453500
P25539	46877000	45290000	40235000	18378000	25934000	23499000
P25552	10293000	12635000	8864900	4582700	5345600	4473000
P25553	1.4251e+10	1.4829e+10	1.698e+10	7492800000	8308800000	8354600000
P25665	367360000	331900000	407030000	131660000	168440000	135080000
P25666	9510000	15131000	14271000	5805500	8096700	4930900
P25685;B4DX52	148490000	150690000	135460000	188550000	223990000	231570000
P25705;A8K092	1549600000	1736100000	1768100000	2991800000	2399300000	2592600000
P25714	538530000	627930000	630150000	279300000	253730000	2.61e+08
P25738	1242100000	1117900000	900270000	819500000	590780000	739100000
P25740	12030000	12305000	4057600	0	3432400	1693000
P25742	7548700	13032000	5400800	0	3814600	4894200
P25745	32566000	53123000	24447000	7152300	5425000	6139300
P25746	51959000	43091000	58238000	36669000	21169000	17556000
P25748	22995000	24090000	15957000	9378200	10074000	9106100
P25786;P25786-2;F5GX11;B4DEV8	336030000	322770000	372500000	537180000	540260000	562230000
P25787;C9JCK5	304160000	261530000	566130000	542220000	533550000	422530000
P25788-2;P25788	329770000	285920000	538900000	597870000	617390000	508410000
P25789;H0YMZ1;H0YN18;H0YL69;P25789-2;H0YMA1;H0YKT8;H0YMI6;H0YKS0;H0YLC2	457660000	449080000	565270000	862480000	816810000	765130000
P25888	2073900	2936700	1825400	0	1143400	1691700
P25894	94450000	89577000	84167000	42382000	55397000	48380000
P25906	372400000	482180000	449260000	147210000	127510000	142780000
P26038	135850000	164430000	121630000	214910000	224280000	181710000
P26196	65348000	74266000	67269000	120840000	85330000	99824000
P26368-2;P26368	3886100000	4.315e+09	4515200000	6579400000	5.974e+09	6.494e+09
P26373;F5H1S2	637810000	454920000	591320000	732430000	705440000	777800000
P26447;F5H3J5	672790000	643710000	1160900000	893970000	1018800000	1178500000
P26459	304140000	273700000	239900000	130540000	131940000	115130000
P26583;D6R9A6	356380000	416080000	300400000	283040000	435910000	284450000
P26599;P26599-2;P26599-3	1.3425e+10	1.196e+10	1.3714e+10	2.164e+10	1.9542e+10	1.6943e+10
P26612	274220000	305330000	356920000	112580000	102690000	113470000
P26616	1296300000	1151500000	1403300000	605530000	481220000	524620000
P26639;B4DEG8;G3XAN9;E7ERI3	1351600000	1383100000	1582100000	2192500000	2088600000	2485100000
P26641;B4DTG2;B4DUP0;E7EMT2	3078200000	2502700000	3.031e+09	3963600000	4.443e+09	4513300000
P26646	1.03e+09	1213900000	1114200000	519940000	445730000	521240000
P26647	51573000	37494000	31610000	6786700	13088000	11475000
P26648	6930900	3353800	3205900	1902300	1536300	1719100
P26885;F5H0N4	33714000	0	39511000	83380000	78692000	79885000
P27128	10806000	17723000	17010000	7104200	6416800	7512000
P27144;D3DQ64	32882000	45029000	28085000	51620000	61954000	51750000
P27240	1641900	1442200	0	0	0	0
P27242	5905500	17568000	14376000	2881300	3097000	0
P27248	1592400000	1676700000	1767100000	717380000	592940000	650690000
P27249	4667300	4126000	1801900	1173700	891540	720030
P27250	2057700000	1535700000	1540600000	750560000	872110000	831330000
P27278	159070000	184850000	151360000	48314000	56858000	53876000
P27298	3786500000	4071100000	3872900000	1492300000	1539700000	1556300000
P27300	3268900	3021000	1870500	646510	1384600	998520
P27302	3140800000	3200600000	3563500000	1443600000	1185700000	1314800000
P27306	665040000	591040000	567190000	306100000	277810000	266410000
P27348;B4DMT8;E9PG15	996650000	989480000	896190000	2002700000	1760500000	1714500000
P27431	85842000	73229000	87327000	39348000	24770000	12390000
P27434	323870000	304100000	443540000	138710000	168750000	147180000
P27550	1.3641e+10	1.4076e+10	1.467e+10	6.868e+09	7.081e+09	7084900000
P27694	176880000	211720000	210260000	293900000	360090000	354470000
P27695;G3V3M6;G3V5Q1;G3V3C7	933020000	1053100000	907450000	2014800000	1871900000	2068300000
P27797;B4E2Y9	2.416e+09	2104600000	1888800000	3341700000	3578400000	3829100000
P27824;B4E2T8	2617600000	2679900000	2717400000	4.33e+09	4470600000	4491900000
P27829	19479000	15006000	16717000	7116000	0	7912800
P27830	10797000	12429000	15250000	2400900	3917400	1641200
P27833	30676000	55431000	23195000	10244000	11690000	9275700
P27848	9141200	11364000	6115200	3617100	3704100	3907400
P28062-2;P28062;Q5JNW7;B0UZC1	26849000	24285000	22875000	27381000	28708000	33552000
P28066;B4E2V4	783610000	682580000	740220000	1296500000	1225400000	1030400000
P28070	182090000	242660000	166900000	220380000	285290000	262730000
P28072	144630000	90999000	205490000	193500000	294330000	237970000
P28074;E9PAV2	124580000	152230000	99671000	176590000	238750000	196100000
P28249	25170000	29653000	27106000	16306000	15244000	12017000
P28304	2461700000	2665200000	3026600000	1321700000	1194500000	1174400000
P28305	12795000	23065000	10381000	12558000	9858500	13825000
P28340;H0Y3D1	102590000	109560000	96014000	117510000	135940000	111160000
P28482;B4DHN0;A8CZ64	79940000	68450000	6.7e+07	164730000	141040000	103520000
P28629	56849000	49978000	37844000	20293000	25845000	22427000
P28631	4750800	5114400	0	4154300	2151800	2217700
P28635	5105700000	5038600000	5229200000	2663500000	2523700000	2490700000
P28838-2;P28838	73345000	80691000	85347000	164220000	130820000	119120000
P28861	82861000	100020000	102550000	45258000	39616000	34465000
P28903	10779000	49126000	36523000	41286000	12406000	20702000
P28904	591970000	643180000	564210000	288670000	273520000	234800000
P29012	552780000	642820000	844460000	346610000	338590000	251500000
P29018	61665000	55800000	50001000	24441000	22375000	22368000
P29083;E9PER7;C9IYL4	0	5111300	32194000	8176000	13355000	7463200
P29084;E5RH41	13481000	3667800	0	4423800	5095800	3746600
P29131	6422700	4258900	5285100	0	5433100	0
P29144;Q5VZU9	41145000	37899000	25195000	47577000	51957000	44396000
P29208	19124000	35500000	10970000	6860800	8287300	7110100
P29217	146260000	209820000	219050000	78181000	92831000	87725000
P29218;H0YBL1;E5RG13;E5RIP7	10962000	12684000	9145400	17557000	32644000	30526000
P29373;Q5SYZ4	157460000	149030000	143460000	118060000	148080000	173960000
P29374-3;P29374-2;P29374;H7C485	9696000	13301000	0	15771000	15849000	11215000
P29508-2;P29508	10046000	7442400	10599000	17028000	8884700	17366000
P29680	78736000	46817000	57915000	19367000	19249000	20491000
P29745	1046500000	1372400000	1425900000	675900000	598330000	511640000
P30011	129520000	112420000	130650000	62654000	60742000	63789000
P30040;F8VY02	426510000	362870000	599480000	692660000	605950000	671300000
P30041	4686100000	4792600000	5793600000	6917400000	6971400000	6127300000
P30043	247620000	243650000	222810000	256270000	309090000	365120000
P30044-2;P30044;A6NG06;A6NC19	2211400000	2399200000	2107400000	3603800000	3445600000	3.394e+09
P30046;B7Z522;A6NHG4;B5MC82	126320000	222400000	191200000	531700000	266930000	381950000
P30050;P30050-2	347560000	351940000	411750000	571710000	508660000	627870000
P30084	236160000	230970000	213130000	404130000	433540000	436900000
P30085;Q5T0D2;E9PGI8	352600000	254850000	318190000	438980000	449280000	451950000
P30086;B4DRT4	1116500000	986100000	1125600000	1950700000	2054400000	1742600000
P30101;B3KQT9;G5EA52;F5H119	5272300000	5693200000	5704100000	9149300000	8944500000	8544200000
P30136	27372000	40192000	4368500	6222700	6091400	7499900
P30137	4458300	4204500	8786300	2016700	3023100	2824000
P30154;P30154-2;P30154-3;F8W8G1;A8MY67;E7EUF3;H0YDG7	171650000	202380000	167200000	266610000	246440000	195680000
P30177	945550000	807170000	1018200000	345910000	378540000	408840000
P30178	124950000	138070000	204320000	121270000	74402000	80873000
P30405;H0Y548;Q2YDB7	122590000	107850000	140120000	304010000	128940000	171850000
P30419-2;P30419	57625000	75904000	56419000	105200000	79383000	74321000
P30520;F8W9D6	76267000	67602000	89563000	131050000	86687000	112110000
P30533	34511000	31672000	25862000	37147000	45106000	52891000
P30566;E7ERF4;P30566-2;B4DUM2	66534000	63020000	61688000	97789000	73817000	81009000
P30622-2;P30622-1;P30622	25862000	28651000	14834000	39597000	42163000	18259000
P30744	27928000	19659000	21230000	2370400	6726300	5159700
P30750	19243000	5213400	15015000	0	4879000	4142500
P30837	10141000	9017700	11877000	25436000	11141000	12585000
P30850	272210000	227750000	219350000	147290000	110080000	106740000
P30855	138910000	238400000	106600000	128380000	159510000	0
P30859	2.679e+09	2410200000	2887100000	1169600000	1301100000	1264400000
P30860	55684000	50309000	54127000	22889000	19108000	24104000
P30863	5251500	14158000	12626000	5046900	6218300	3260300
P30864	20055000	26534000	16924000	3961500	6670800	4186400
P30870	9924700	12703000	11130000	6846600	3869600	6580400
P30871	114170000	118660000	102780000	32357000	47957000	30929000
P30958	255670000	219930000	188240000	73819000	100910000	93446000
P31040;E9PBJ5;D6RFM5;E9PEF8	380100000	352180000	342610000	630450000	647040000	578750000
P31057	1454300000	1318700000	1205500000	294730000	342830000	419750000
P31063	186670000	148630000	210840000	84924000	79075000	92485000
P31119	4971600	4023800	2504500	1662900	0	0
P31120	1.061e+09	866220000	1094800000	377880000	363960000	393230000
P31130	355800000	570380000	509840000	191370000	160310000	189280000
P31133	7262300	14404000	0	0	4519000	4342500
P31142	662780000	739820000	761610000	378680000	287460000	281790000
P31150;B4DHX4	5372400	1804500	4395800	11110000	9390500	8950500
P31153;B4DN45;E9PBA7	4.58e+08	508300000	405720000	722200000	591430000	677430000
P31224	392590000	397450000	428160000	166360000	160350000	156860000
P31350;C9JXC1;H0Y855	111580000	104730000	92676000	132500000	151200000	139660000
P31433	77591000	110770000	57033000	27578000	31956000	39085000
P31455	27423000	37273000	25847000	14940000	11154000	13999000
P31460	15738000	12007000	10428000	7602300	8732600	0
P31473	112110000	107570000	125140000	38545000	47023000	49024000
P31475	28270000	38867000	26959000	18967000	11397000	13973000
P31550	59954000	83478000	96535000	21487000	25971000	29545000
P31554	336540000	349960000	304300000	127870000	172470000	181470000
P31600	38733000	40885000	32363000	16049000	13297000	9941000
P31658	1666100000	1408800000	1717100000	857120000	574660000	647850000
P31663	656320000	939670000	861770000	432170000	334400000	439790000
P31677	723010000	801150000	882600000	349350000	280100000	284940000
P31678	159900000	175970000	133490000	29230000	52851000	61506000
P31689;B7Z5C0;F5GZ88	373120000	292240000	312160000	387250000	475160000	450060000
P31801	3415300	7587700	0	0	0	0
P31806	109950000	96182000	82622000	67431000	51282000	50167000
P31808	22051000	13086000	14966000	8655400	11394000	8568600
P31930	22073000	38400000	33626000	54728000	40621000	51103000
P31937;H7BZL2	204450000	174200000	226820000	257210000	261870000	246200000
P31939;E9PBU3;F5GWY2	1074200000	1119100000	1001900000	1535900000	1465600000	1462200000
P31942-2;P31942;P31942-3;B4DHY1;P31942-4	697720000	581120000	590130000	768740000	666060000	829170000
P31946-2;P31946	1251500000	1406100000	1319900000	1860100000	1696600000	1944400000
P31947;P31947-2	300550000	320910000	376770000	594300000	647810000	507170000
P31948;F5H0T1;G3XAD8	3127700000	3156300000	3347200000	4418200000	4907300000	5252100000
P31949	616120000	598510000	507840000	532330000	728940000	524130000
P31979	1611800000	1176900000	1.351e+09	504870000	548660000	473080000
P32099	7706800	6420700	0	2043700	2383000	2225700
P32119;A6NIW5	2098400000	2511100000	1903500000	3021900000	2.988e+09	2890700000
P32131	13628000	15657000	5334200	1470100	2250500	2626000
P32132	1364200000	1.208e+09	1164800000	516100000	527190000	459040000
P32144	17281000	29143000	32400000	10940000	9322400	4004000
P32157	300960000	473380000	350880000	113300000	157830000	118890000
P32176	445920000	524380000	423260000	199140000	237670000	204650000
P32320	20354000	27310000	14319000	50944000	62224000	48002000
P32322;A6NFM2;B4DMU0	245530000	243160000	191590000	412760000	378610000	387090000
P32662	38251000	21972000	41995000	13360000	6882500	7141800
P32664	14883000	14695000	16044000	0	15386000	9132000
P32684	6164500	11107000	6052200	2423200	3308100	0
P32705	83621000	83253000	73053000	35840000	33764000	27528000
P32780;B3KXE0	8452400	13150000	7577100	8657500	16127000	13055000
P32969;D6RAN4;H0Y9V9;E7ESE0;B4E1M5	489220000	760130000	457110000	844570000	836530000	917330000
P33012	356530000	278750000	233700000	243330000	131020000	112070000
P33018	62559000	71650000	54375000	11769000	13284000	16789000
P33030	17288000	17183000	9987300	7426400	8498100	8295100
P33136	1738900000	1704700000	1854100000	690970000	855890000	804780000
P33176	54485000	68862000	57051000	72837000	80835000	90437000
P33195	5100100000	4962600000	5585200000	2141600000	2229700000	2034300000
P33218	86191000	106160000	115950000	34749000	29783000	38769000
P33219	457230000	464950000	486520000	324820000	305160000	385360000
P33221	123450000	115780000	98639000	52715000	53014000	46437000
P33224	346940000	286820000	277220000	127060000	145070000	138920000
P33232	265060000	267600000	199350000	63867000	92803000	92689000
P33355	0	0	0	1403000	0	0
P33362	569130000	452330000	600390000	209760000	186170000	180760000
P33363	53948000	56891000	80625000	22469000	18512000	17701000
P33368	207850000	200420000	270270000	112460000	106500000	90440000
P33570	8855500000	9.233e+09	1.056e+10	4058300000	4299400000	4533200000
P33590	21110000	19643000	7939200	0	0	2800500
P33599	2322300000	2346400000	2635500000	1.115e+09	1162100000	1049500000
P33602	2149800000	1988600000	2.258e+09	888710000	858820000	806330000
P33607	164080000	115570000	188120000	61948000	76833000	63369000
P33643	541590000	323410000	425100000	132340000	118520000	113340000
P33644	13948000	20699000	12024000	6115900	10076000	8438100
P33913	7736000	11051000	7165400	5558100	4782900	2995200
P33920	97475000	80142000	73636000	22878000	25283000	29202000
P33931	3235000	6553700	2981900	2705200	1869900	1637000
P33937	5225800	19222000	7487900	1743700	1884000	2053900
P33981-2;P33981	3978500	4074600	3515100	4124500	4268600	4357200
P33992;B1AHB1;E7EQY5	1696500000	1639800000	1637300000	2377200000	2598500000	2673800000
P33993;F5H776;F5H4S2;A4D2A2	1932800000	1.428e+09	1904900000	2777300000	2.477e+09	2.662e+09
